species,origin,year collected,Planting-date,container,amount planted,10.10.2021_count,10.10.2021_comment,12.10.2021_count,12.20.2021_comment,14.10.2021_count,14.10.2021_comment,16.10.2021_count,16.10.2021_comment,18.10.2021_count,18.10.2021_comment,20.10.2021_count,20.10.2021_comment,22.10.2021_count,22.10.2021_comment,24.10.2021_count,24.20.2021_comment,26.10.2021_count,26.10.2021_comment,28.10.2021_count,28.10.2021_comment,30.10.2021_count,30.10.2021_comment,03.11.2021_count,03.11.2021_comment,10.11.2021_count,10.11.2021_comment,18.11.2021_count
lavendula officinalis,volo,2016,10/17/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,0,,0,,0,,22,,full,,full,,full,,full,,full,,full
salvia pratensis,volo,2019,10/17/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
anthemis tinctoria,volo,2015,10/17/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,0,,full,,full,,full,,full,,full,,full,,full,,full,,full
viola sp,personal,2020,10/17/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2
verbascum nigrum,volo,205,10/17/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,0,,0,,full,,full,,full,,1/2 full,,1/3 full,seedlins dying off,15,80% seedlings dead,15,,15
levisticum officinale,volo,2016,10/17/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1
polemonium caerulum,volo,2015,10/17/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,0,,0,,0,,0,,0,,0,,0,,6,,13,,16
plantago lanceolata,personal,2021,10/17/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,0,,0,,25,,27,,29,,full,,full,,full,,full,,full
melilotus officinale,personal,2021,10/17/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,0,,1,,1,,1,,2,,2,,5,,5,,5,,3
malva alcea,personal,2020,10/17/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,0,,4,,13,,14,,15,,19,,22,,25,,full,,full
daucus carota,personal,2021,10/17/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,0,,0,,0,,0,,2,,4,,4,,4,,4,,2
scabiosa columbaria,volo,2015,10/17/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
valeriana officinalis,volo,2015,10/17/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
aster amellus,volo,2015,10/17/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,0,,0,,0,,0,,0,,1,,1,,1,,1,,1
teucrium montanum,personal,2021,10/17/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,0,,0,,0,,0,,9,,15,,15,,16,,16,,16
teucrum chamaedrys,personal,2021,10/17/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,0,,0,,0,,0,,0,,3,,7,,14,,22,,28
campanula rapunculoides,volo,2015,10/17/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
cirsium arvense,personal,2021,10/17/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,0,,0,,0,,0,,3,,3,2 mushrooms as well,3,,2,,1,,1
special felseck,personal,2021,10/17/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,0,,0,,0,,0,,0,,0,,1,,0,,2,,2
plantago media,personal,2021,10/23/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,-,-,-,-,-,-,0,,0,,4,,5,,6,,6,,5
achillea millefolium ssp pink,personal,2021,10/23/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,-,-,-,-,-,-,0,,0,,1,,2,,2,,2,,1
filipendula ulmaria,personal,2021,10/23/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,-,-,-,-,-,-,0,,0,,1,,2,,2,,0,,0
heracleum sphondylium,personal,2021,10/23/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,-,-,-,-,-,-,0,,0,,1,,1,,1,,0,,0
prunella vulgaris,personal,2021,10/23/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,-,-,-,-,-,-,0,,0,,0,,0,,2,,2,,3
achillea millefolium,personal,2021,10/23/2021,Concrete-container,9 cm pot,-,-,-,-,-,-,-,,-,-,-,-,-,-,0,,full,,full,,full,,full,,full,,full
malva sp.,personal,2021,10/23/2021,Concrete-container,1/6 container,-,-,-,-,-,-,-,,-,-,-,-,-,-,0,,0,,0,,0,,1,,1,,0
rhinanthus sp.,personal,2021,10/14/2021,9 cm pot,9 cm pot,-,-,-,-,-,-,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
rhinanthus sp.,personal,2021,10/14/2021,9 cm pot,9 cm pot,-,-,-,-,-,-,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
rhinanthus sp.,personal,2021,10/14/2021,9 cm pot,9 cm pot,-,-,-,-,-,-,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
