 ID taxon,species,nom allemand,nom francais,nom italien,priorite,menace,responsabilite,necessite de prendre des mesures,Necessite de surveiller les populations,connaissances suffisantes?,techniques connues?,Jura,Plateau
6100,Adonis flammea Jacq.,Scharlachtrotes Blutstroepfchen,Adonis flamme,Adonide scarlatta,3,EN,1,2,0,2,1,D,A
6200,Adonis vernalis L.,Fruehlings-Adonis,Adonis du printemps,Adonide gialla,4,VU,1,2,1,2,1,0,0
7000,Aethionema saxatile (L.) R. Br.,Felsen-Steintaeschel,Aethionema des rochers,Erba-storna carnicina,4,VU,1,1,1,1,0,0,0
7600,Agrimonia procera Wallr.,Wohlriechender Odermennig,Aigremoine elevee,Agrimonia profumata,4,VU,1,1,1,1,0,A,A
8200,Agrostemma githago L.,Kornrade,Nielle des bles,Gittaione comune,3,EN,1,2,0,2,1,A,A
9700,Aira caryophyllea L.,Nelken-Haferschmiele,Aïra caryophylle,Nebbia maggiore,4,VU,1,1,1,1,0,D,A
9900,Aira elegantissima Schur,Zierliche Haferschmiele,Aïra elegant,Nebbia minore,3,EN,1,2,0,1,0,0,D
10000,Aira praecox L.,Fruehe Haferschmiele,Aïra precoce,Nebbia precoce,2,CR(PE),1,99,0,0,0,0,0
10100,Ajuga chamaepitys (L.) Schreb.,Gelber Guensel,Bugle jaune,Iva artritica,4,VU,1,1,0,1,0,A,A
11300,Alchemilla amphisericea Buser,Seidenglanz-Silbermantel,Alchemille de Charbonnel,Ventaglina (senza nome italiano usuale),4,LC,3,0,0,1,0,A,0
11450,Alchemilla argentidens Buser,Frauenmantel (ohne gebraeuchlichen deutschen Artnamen),Alchemille (sans nom francais usuel),Ventaglina (senza nome italiano usuale),3,LC,4,0,0,1,0,0,0
14830,Alchemilla galkinae S. E. Froehner,Frauenmantel (ohne gebraeuchlichen deutschen Artnamen),Alchemille (sans nom francais usuel),Ventaglina (senza nome italiano usuale),3,LC,4,0,0,1,0,0,0
14860,Alchemilla gemmia Buser,Frauenmantel (ohne gebraeuchlichen deutschen Artnamen),Alchemille (sans nom francais usuel),Ventaglina (senza nome italiano usuale),3,LC,4,0,0,1,0,0,0
18100,Alchemilla pentaphyllea L.,Schneetaelchen-Frauenmantel,Alchemille a cinq folioles,Ventaglina a cinque foglie,4,LC,3,0,0,1,0,0,0
21600,Aldrovanda vesiculosa L.,Aldrovande,Aldrovande a vessies,Aldrovanda,3,EN,1,2,1,2,1,C,A
21700,Alisma gramineum Lej.,Grasartiger Froschloeffel,Fluteau graminee,Mestolaccia sottile,3,EN,1,2,2,2,1,C,A
21800,Alisma lanceolatum With.,Lanzettblaettriger Froschloeffel,Fluteau lanceole,Mestolaccia lanceolata,3,EN,1,2,2,2,1,A,A
22200,Allium angulosum L.,Kantiger Lauch,Ail anguleux,Aglio angoloso,4,VU,1,2,2,2,1,A,A
22500,Allium carinatum subsp. pulchellum Bonnier & Layens,Niedlicher Lauch,Ail elegant,Aglio grazioso,4,VU,1,1,1,1,0,A,A
23000,Allium lineare L.,Steifer Lauch,Ail lineaire,Aglio sottile,3,VU,2,2,1,1,0,0,0
24000,Allium rotundum L.,Kugeliger Lauch,Ail arrondi,Aglio arrotondato,2,CR,1,2,2,2,1,A,A
24700,Allium suaveolens Jacq.,Wohlriechender Lauch,Ail odorant,Aglio odoroso,3,EN,1,2,2,2,1,0,A
25500,Alopecurus aequalis Sobol.,Rotgelber Fuchsschwanz,Vulpin fauve,Coda di topo arrossata,4,VU,1,1,1,1,0,A,A
25700,Alopecurus geniculatus L.,Geknieter Fuchsschwanz,Vulpin genouille,Coda di topo ginocchiata,4,VU,1,1,0,1,0,A,A
26600,Alyssoides utriculata (L.) Moench,Blasenschoetchen,Faux alysson renfle,Vesicaria maggiore,4,NT,2,0,0,1,0,0,0
26700,Alyssum alpestre L.,Alpen-Steinkraut,Alysson alpestre,Alisso alpestre,2,EN,2,2,2,2,1,0,0
29650,Anacamptis pyramidalis var. tanayensis Chenevard,Tanay-Spitzorchis,Orchis de Tanay,Orchide di Tanay,2,VU,3,1,1,1,0,0,0
29900,Anagallis foemina Mill.,Blauer Gauchheil,Mouron femelle,Centonchio azzurro,4,VU,1,1,0,1,0,A,A
30000,Anagallis minima (L.) E. H. L. Krause,Kleinling,Centenille naine,Centonchio minore,2,CR,1,2,2,2,1,A,A
30100,Anagallis tenella (L.) L.,Zarter Gauchheil,Mouron delicat,Centonchio palustre,1,CR,2,2,2,2,1,0,A
31400,Androsace brevis (Hegetschw.) Ces.,Charpentiers Mannsschild,Androsace courte,Androsace orobia,2,VU,3,1,2,2,1,0,0
32300,Androsace maxima L.,Acker-Mannsschild,Androsace des champs,Androsace annuale,2,CR,1,2,1,2,1,0,0
32600,Androsace pubescens DC.,Weichhaariger Mannsschild,Androsace pubescente,Androsace pubescente,4,NT,2,0,0,1,0,0,0
32800,Androsace septentrionalis L.,Nordischer Mannsschild,Androsace septentrionale,Androsace nordica,2,EN,2,2,1,2,1,0,A
33000,Androsace villosa L.,Zottiger Mannsschild,Androsace velue,Androsace appenninica,4,VU,1,1,2,1,0,A,0
33800,Anemone sylvestris L.,Huegel-Windroeschen,Anemone des forets,Anemone silvestre,2,CR,1,2,2,2,1,A,0
34200,Anogramma leptophylla (L.) Link,Nacktfarn,Anogramme a frondes minces,Felcetta annuale,2,EN,2,2,1,2,1,0,0
34600,Anthemis arvensis L.,Feld-Hundskamille,Anthemis des champs,Camomilla bastarda,4,VU,1,1,0,1,0,A,A
34800,Anthemis cotula L.,Stinkende Hundskamille,Anthemis cotule,Camomilla fetida,3,EN,1,1,0,1,0,D,A
35000,Anthemis triumfettii (L.) DC.,Trionfettis Hundskamille,Anthemis de Trionfetti,Camomilla di Trionfetti,4,VU,1,1,1,1,0,D,0
35600,Anthriscus caucalis M. Bieb.,Gemeiner Kerbel,Cerfeuil a poils crochus,Cerfoglio lappola,4,VU,1,1,1,1,0,A,A
35700,Anthriscus cerefolium (L.) Hoffm.,Garten-Kerbel,Cerfeuil cultive,Cerfoglio comune,4,VU,1,1,0,1,0,A,A
