date,place,feature,number,species,quantity,confidence,no_flowers,notes,Full-place-name
06.04.21,zukunftstrasse,box,13,Quercus suber,1,1,,,zukunftstrasse-box-13
06.04.21,zukunftstrasse,box,13,Prunus avium,1,0,,,zukunftstrasse-box-13
06.04.21,zukunftstrasse,box,14,Viburnum farreri,1,2,,,zukunftstrasse-box-14
06.04.21,zukunftstrasse,box,14,Quercus suber,1,1,,,zukunftstrasse-box-14
06.04.21,zukunftstrasse,box,14,Prunus avium,1,0,,,zukunftstrasse-box-14
06.04.21,Kongresshaus,box,1,Mahonia aquifolium,100.00%,2,,entire box filled with MA and no other flowering plants around.,Kongresshaus-box-1
06.04.21,Kongresshaus,box,2,Mahonia aquifolium,Signficiant % of cover,2,,,Kongresshaus-box-2
06.04.21,Kongresshaus,box,2,lamium purpureum,Signficiant % of cover,2,,,Kongresshaus-box-2
06.04.21,Kongresshaus,box,2,Glechoma hederacea,Signficiant % of cover,2,,,Kongresshaus-box-2
06.04.21,Kongresshaus,box,2,erophila verna,scattered,2,,,Kongresshaus-box-2
06.04.21,Kongresshaus,box,2,Cardamine flexuosa,Signficiant % of cover,1,,,Kongresshaus-box-2
06.04.21,Kongresshaus,box,2,taraxacum,scattered,1,,,Kongresshaus-box-2
06.04.21,Kongresshaus,box,2,viola odorata,scattered,2,,,Kongresshaus-box-2
04.04.21,Blumenrain,berm,1,medicato lupulina,1 patch,1,,,Blumenrain-berm-1
04.04.21,Blumenrain,berm,1,erophila verna,scattered,2,,,Blumenrain-berm-1
04.04.21,Blumenrain,berm,1,Senecio vulgaris,scattered,2,,,Blumenrain-berm-1
04.04.21,Blumenrain,berm,1,Muscari neglectum,3 patches,2,,,Blumenrain-berm-1
04.04.21,Blumenrain,berm,1,taraxacum,scattered,1,,,Blumenrain-berm-1
04.04.21,Blumenrain,berm,1,Primula acaulis,2 patches,2,,,Blumenrain-berm-1
04.04.21,Blumenrain,berm,1,Glechoma hederacea,scattered,2,,,Blumenrain-berm-1
04.04.21,Blumenrain,berm,1,Vinca minor,1 large patch,2,,at bottom of berm  side furthest from berm  large patch of VM,Blumenrain-berm-1
04.04.21,Blumenrain,berm,1,Prunus spinosa,several planted individuals,2,,,Blumenrain-berm-1
04.04.21,Blumenrain,berm,1,Veronica persica,Scattered,1,,,Blumenrain-berm-1
04.04.21,Blumenrain,berm,1,Salix caprea,several planted individuals,1,,,Blumenrain-berm-1
04.04.21,Blumenrain,berm,1,Ranunculus acris,Scattered,1,,more to come soon,Blumenrain-berm-1
04.04.21,Blumenrain,berm,1,Cardamine flexuosa,Scattered,1,,,Blumenrain-berm-1
04.04.21,Blumenrain,berm,1,lamium purpureum,Scattered,1,,,Blumenrain-berm-1
04.04.21,Blumenrain,berm,1,Capsella bursa-pastoris,Scattered,1,,,Blumenrain-berm-1
03.04.21,Bermenstrasse,area,1,Erodium cicutarium,Scattered,2,,,Bermenstrasse-area-1
03.04.21,Bermenstrasse,area,1,Scilla bifolia,Scattered,2,,last set of these flowers,Bermenstrasse-area-1
03.04.21,Bermenstrasse,area,1,Cardamine flexuosa,Scattered,1,,,Bermenstrasse-area-1
03.04.21,Bermenstrasse,area,1,Bellis perennis,Scattered,2,,,Bermenstrasse-area-1
03.04.21,Bermenstrasse,area,1,Veronica filliformis,Scattered,1,,,Bermenstrasse-area-1
04.04.21,Alleestrasse,madretschkanal,1,lamium purpureum,Scattered,2,,,Alleestrasse-madretschkanal-1
04.04.21,Alleestrasse,madretschkanal,1,taraxacum,Scattered,1,,,Alleestrasse-madretschkanal-1
04.04.21,Alleestrasse,madretschkanal,1,Glechoma hederacea,Scattered,2,,,Alleestrasse-madretschkanal-1
04.04.21,Alleestrasse,madretschkanal,1,Ranunculus acris,Scattered,1,,,Alleestrasse-madretschkanal-1
04.04.21,Alleestrasse,madretschkanal,1,Veronica hederifolia,Scattered,1,,,Alleestrasse-madretschkanal-1
04.04.21,Alleestrasse,madretschkanal,1,Equisetum arvense,Some % of cover,2,,,Alleestrasse-madretschkanal-1
04.04.21,Alleestrasse,madretschkanal,1,Cardamine flexuosa,Scattered,1,,,Alleestrasse-madretschkanal-1
04.04.21,Alleestrasse,madretschkanal,1,Capsella bursa-pastoris,Scattered,1,,,Alleestrasse-madretschkanal-1
04.04.21,Alleestrasse,madretschkanal,2,Equisetum arvense,Some % of cover,2,,,Alleestrasse-madretschkanal-2
04.04.21,Alleestrasse,madretschkanal,2,Senecio vulgaris,Scattered,2,,,Alleestrasse-madretschkanal-2
04.04.21,Alleestrasse,madretschkanal,2,Glechoma hederacea,Scattered,,,one big patch,Alleestrasse-madretschkanal-2
04.04.21,Alleestrasse,madretschkanal,2,Tussilago farfara,2,2,,Old flowers no longer food sources,Alleestrasse-madretschkanal-2
04.04.21,Alleestrasse,madretschkanal,2,Cardamine flexuosa,Some % of cover,1,,,Alleestrasse-madretschkanal-2
04.04.21,Alleestrasse,madretschkanal,2,viola odorata,1  patch,2,,older flowers,Alleestrasse-madretschkanal-2
04.04.21,Alleestrasse,madretschkanal,3,taraxacum,Scattered,1,,,Alleestrasse-madretschkanal-3
04.04.21,Alleestrasse,madretschkanal,3,Veronica hederifolia,Scattered,1,,,Alleestrasse-madretschkanal-3
04.04.21,Alleestrasse,madretschkanal,3,Cardamine flexuosa,Scattered,1,,,Alleestrasse-madretschkanal-3
04.04.21,Alleestrasse,madretschkanal,3,erophila verna,1 big patch,1,,,Alleestrasse-madretschkanal-3
04.04.21,Alleestrasse,madretschkanal,3,Ranunculus acris,1 big patch,1,,flowers to come very shortly,Alleestrasse-madretschkanal-3
04.04.21,Alfred-aebi-strasse,area,7,Veronica hederifolia,undearneath bushes,1,,,Alfred-aebi-strasse-box-1
04.04.21,Alfred-aebi-strasse,area,7,Mahonia aquifolium,Signficiant % of cover,2,,,Alfred-aebi-strasse-box-1
04.04.21,Alfred-aebi-strasse,area,8,Mahonia aquifolium,all cover,2,,,Alfred-aebi-strasse-box-2
04.04.21,Alfred-aebi-strasse,area,8,taraxacum,2,1,,,Alfred-aebi-strasse-box-4
04.04.21,Alfred-aebi-strasse,area,8,Veronica hederifolia,scattered,1,,,Alfred-aebi-strasse-box-4
05.04.21,Portplatz,area,1,Glechoma hederacea,Signficiant % of cover,2,,,Portplatz-area-1
05.04.21,Portplatz,area,1,taraxacum,Signficiant % of cover,1,,,Portplatz-area-1
05.04.21,Portplatz,area,1,Bellis perennis,Signficiant % of cover,2,,,Portplatz-area-1
05.04.21,Portplatz,area,1,Stellaria media,scattered,1,,,Portplatz-area-1
05.04.21,Portplatz,area,1,erophila verna,scattered,1,,,Portplatz-area-1
05.04.21,Portplatz,area,1,Veronica filliformis,scattered,1,,,Portplatz-area-1
05.04.21,Portplatz,area,1,Hyacinthus orientalis,2 patches,2,,,Portplatz-area-1
05.04.21,Portplatz,area,1,Narcissus poeticus,several patches,1,,,Portplatz-area-1
05.04.21,Portplatz,area,1,Narcissus pseuonarcissus,several patches,2,,,Portplatz-area-1
05.04.21,Portplatz,area,2,Narcissus tazetta,1  patch,1,,,Portplatz-area-2
05.04.21,Portplatz,area,2,Narcissus pseuonarcissus,1 patch,2,,,Portplatz-area-2
05.04.21,Portplatz,area,2,Cardamine hirsuta,scattered,1,,,Portplatz-area-2
05.04.21,Portplatz,area,2,Bellis perennis,Signficiant % of cover,2,,,Portplatz-area-2
05.04.21,Portplatz,area,2,Capsella bursa-pastoris,scattered,1,,,Portplatz-area-2
05.04.21,Portplatz,area,2,Ranunculus ficaria,Signficiant % of cover,2,,,Portplatz-area-2
05.04.21,Portplatz,area,2,viola odorata,scattered,2,,,Portplatz-area-2
05.04.21,Portplatz,area,2,Scilla bifolia,scattered,1,,Old flowers no longer food sources,Portplatz-area-2
05.04.21,Portplatz,area,2,lamium purpureum,scattered,2,,,Portplatz-area-2
05.04.21,Portplatz,area,2,Muscari neglectum,scattered,1,,,Portplatz-area-2
05.04.21,Portplatz,area,2,fritillaria imperialis,1  patch,2,,,Portplatz-area-2
