date,species,year,biogeo,canton,river,lot,forest,project,city,rch,rmp,rju,fam,res,pri,inv,ode,ns,ongen,ni,cdf,biel,locname,loc_date
2020-08-13,clinopodium-vulgare,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Lamiaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
2020-08-13,centaurea-jacea,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Asteraceae,2.0,3.0,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
2020-08-13,centaurea-jacea,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Asteraceae,2.0,3.0,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
2020-08-13,scabiosa-columbaria,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Caprifoliaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
2020-08-13,silene-pratensis,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,X,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
2020-08-13,trifolium-pratense,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
2020-08-13,trifolium-repens,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
2020-08-13,silene-vulgaris,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
2020-08-13,silene-pratensis,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,X,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
2020-08-13,epilobium-hirsutum,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Onagraceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
2020-08-13,crepis-capillaris,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
2020-08-13,melilotus-albus,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,X,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
2020-08-13,erigeron-annuus,1,mp,be,schuessinsel,none,none,renat-suze,biel,X,X,X,X,X,X,BL,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
2020-08-13,veronica-persica,1,mp,be,schuessinsel,none,none,renat-suze,biel,X,X,X,X,X,X,X,X,X,X,ni,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
2020-08-13,malva-neglecta,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Malvaceae,X,X,X,X,X,X,X,X,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
2020-08-13,cirsium-arvense,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
2020-08-13,calystegia-sepium,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Convolvulaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
2020-08-13,galium-mollugo,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,DD,DD,Rubiaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
2020-08-13,brassica-napus,1,mp,be,schuessinsel,none,none,renat-suze,biel,X,X,X,X,X,X,X,X,X,X,ni,X,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
2020-08-13,silene-pratensis,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,X,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
2020-08-13,lotus-corniculatus,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
2020-08-13,trifolium-pratense,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
2020-08-13,medicago-varia,1,mp,be,schuessinsel,none,none,renat-suze,biel,,,,,,,,,,,,,,schuessinsel-kanal-2,"('schuessinsel-kanal-2', '2020-08-13')"
10.07.2020,hypericum-perforatum,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Hypericaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-5,"('schuessinsel-kanal-5', '10.07.2020')"
12.06.2020,tragopogon-pratensis,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Asteraceae,1.0,4.0,X,X,X,X,X,cdf,biel,schuessinsel-kanal-5,"('schuessinsel-kanal-5', '12.06.2020')"
12.06.2020,geranium-pyrenaicum,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Geraniaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-5,"('schuessinsel-kanal-5', '12.06.2020')"
12.06.2020,knautia-arvensis,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Caprifoliaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-5,"('schuessinsel-kanal-5', '12.06.2020')"
12.06.2020,centaurea-jacea,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Asteraceae,2.0,3.0,X,X,X,X,X,cdf,biel,schuessinsel-kanal-5,"('schuessinsel-kanal-5', '12.06.2020')"
12.06.2020,galium-mollugo,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,DD,DD,Rubiaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-5,"('schuessinsel-kanal-5', '12.06.2020')"
12.06.2020,leucanthemum-vulgare,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-5,"('schuessinsel-kanal-5', '12.06.2020')"
12.06.2020,vicia-sepium,1,mp,be,schuessinsel,none,none,renat-suze,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,schuessinsel-kanal-5,"('schuessinsel-kanal-5', '12.06.2020')"
28.06.2020,tragopogon-pratensis,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Asteraceae,1.0,4.0,X,X,X,X,X,cdf,biel,bluets-3,"('bluets-3', '28.06.2020')"
28.06.2020,senecio-inaequidens,1,mp,be,schuessinsel,X,X,renat-suze,biel,X,X,X,X,X,X,BL,ODE,X,X,X,X,biel,bluets-3,"('bluets-3', '28.06.2020')"
28.06.2020,knautia-arvensis,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Caprifoliaceae,X,X,X,X,X,X,X,cdf,biel,bluets-3,"('bluets-3', '28.06.2020')"
28.06.2020,medicago-sativa,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,bluets-3,"('bluets-3', '28.06.2020')"
28.06.2020,dianthus-carthusianorum,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,NT,NT,Caryophyllaceae,X,X,X,X,X,X,X,X,biel,bluets-3,"('bluets-3', '28.06.2020')"
28.06.2020,mentha-longifolia,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Lamiaceae,X,X,X,X,X,X,X,X,biel,bluets-3,"('bluets-3', '28.06.2020')"
28.06.2020,lapsana-communis,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,bluets-3,"('bluets-3', '28.06.2020')"
28.06.2020,galium-mollugo,1,mp,be,schuessinsel,X,X,renat-suze,biel,LC,DD,DD,Rubiaceae,X,X,X,X,X,X,X,cdf,biel,bluets-3,"('bluets-3', '28.06.2020')"
28.06.2020,erigeron-annuus,1,mp,be,schuessinsel,X,X,renat-suze,biel,X,X,X,X,X,X,BL,X,X,X,X,cdf,biel,bluets-3,"('bluets-3', '28.06.2020')"
09.06.2020,medicago-lupulina,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '09.06.2020')"
09.06.2020,cichorium-intybus,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '09.06.2020')"
09.06.2020,potentilla-reptans,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Rosaceae,X,X,X,X,X,X,X,X,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '09.06.2020')"
09.06.2020,papaver-rhoeas,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Papaveraceae,X,X,X,X,X,X,X,X,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '09.06.2020')"
09.06.2020,hypericum-maculatum,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Hypericaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '09.06.2020')"
09.06.2020,trifolium-pratense,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '09.06.2020')"
09.06.2020,erigeron-annuus,1,mp,be,suze,X,X,X,biel,X,X,X,X,X,X,BL,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '09.06.2020')"
09.06.2020,medicago-lupulina,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '09.06.2020')"
18.06.2020,medicago-lupulina,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '18.06.2020')"
18.06.2020,arenaria-serpyllifolia,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '18.06.2020')"
18.06.2020,crepis-capillaris,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '18.06.2020')"
18.06.2020,acinos-arvensis,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Lamiaceae,X,X,X,X,X,X,X,X,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '18.06.2020')"
18.06.2020,trifolium-pratense,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '18.06.2020')"
18.06.2020,crepis-capillaris,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '18.06.2020')"
18.06.2020,potentilla-reptans,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Rosaceae,X,X,X,X,X,X,X,X,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '18.06.2020')"
18.06.2020,senecio-inaequidens,1,mp,be,suze,X,X,X,biel,X,X,X,X,X,X,BL,ODE,X,X,X,X,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '18.06.2020')"
18.06.2020,cichorium-intybus,1,mp,be,suze,X,X,X,biel,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '18.06.2020')"
18.06.2020,erigeron-annuus,1,mp,be,suze,X,X,X,biel,X,X,X,X,X,X,BL,X,X,X,X,cdf,biel,buerenstrasse-suze-1,"('buerenstrasse-suze-1', '18.06.2020')"
2020-09-03,lavandula-angustifolia,1,,,,,,,,X,X,X,X,X,X,X,X,X,X,ni,X,biel,burenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')"
2020-09-03,eupatorium-cannabinum,1,,,,,,,,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,X,biel,burenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')"
2020-09-03,cichorium-intybus,1,,,,,,,,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel,burenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')"
2020-09-03,vicia-sepium,1,,,,,,,,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,burenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')"
2020-09-03,trifolium-pratense,1,,,,,,,,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,burenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')"
2020-09-03,lotus-corniculatus,1,,,,,,,,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel,burenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')"
2020-09-03,solidago-canadensis,1,,,,,,,,X,X,X,X,X,X,BL,ODE,X,X,X,cdf,biel,burenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')"
2020-09-03,hypericum-perforatum,1,,,,,,,,LC,LC,LC,Hypericaceae,X,X,X,X,X,X,X,cdf,biel,burenstrasse-suze-3,"('burenstrasse-suze-3', '2020-09-03')"
