name,longitude,latitude
Alleestrasse-Madretschkanal-1,7.252838,47.135874
"Schwanengasse
Area 3",7.253021,47.1372
"10-04
Alleestrasse
Box 3",7.252981,47.136727
"Schwanengasse
area 1",7.252942,47.1374
"Schwanengasse
area 2",7.25334,47.137406
"Madretschstrasse
Box 1",7.254065,47.133894
"Madretschstrasse
Box 2",7.25419,47.133818
"Madretschstrasse
Box 6",7.253186,47.132846
"Madretschstrasse
Box 3",7.254333,47.133963
"Madretschstrasse
Box 5",layerId,7.253289
"Madretschstrasse
Box 4",7.253369,47.132933
"Madretschstrasse
Box 7",7.254281,47.133643
Bahnweg-Area-1,7.253882,47.134065
Alleestrasse-Madretschkanal-2,7.252639,47.136234
Alleestrasse-Madretschkanal-3,7.252592,47.136517
"10-04
Alleestrasse
Box 1",7.252783,47.136633
"Silbergasse
Area 1",7.251363,47.136691
"10-04
Alleestrasse
Box 2",7.252823,47.136821
"10-04
Salomegasse
Madretschkanal 1",7.252533,47.137195
"10-04
Salomegasse
Madretschkanal 2",7.252623,47.137474
Schwanengasse-Madretschkanal-2,7.252777,47.137534
"Freiburgstrasse
Box 2",7.249888,47.132906
"05-04
SchneidergÃ¤ssli
Area 1",7.249376,47.133003
Bahnweg-madretschkanal-1,7.252029,47.134017
"Freiburgstrasse
Box 1",7.250279,47.133121
Bahnweg-Madretschkanal-2,7.251956,47.134074
Bahnweg-Madretschkanal-4,7.252238,47.134303
Bahnweg-Madretschkanal-5,7.252572,47.134408
Bahnweg-Madretschkanal-3,7.252452,47.134279
"03-04-21
Zukunftstrasse
Box 5",7.24926,47.132256
"Freiburgstrasse
Box 5",7.249157,47.132467
"03-04-21
Zukunftstrasse
Box 7",7.249042,47.132353
"03-04-21
Zukunftstrasse
Box 6",7.249165,47.132341
"03-04-21
Zukunftstrasse
Box 8",7.248824,47.132541
Zentralastrasse-Madretschkanal-1,7.2505675,47.1328308
"Freiburgstrasse
Box 4",7.249491,47.132715
"Freiburgstrasse
Box 3",7.249664,47.132816
"Zukunftstrasse
Box 12",7.248603,47.132867
"06-04
Zukunfstrasse
Box 13",7.247905,47.133496
"Kongresshaus
Box 1",7.247552,47.134365
"06-04
Zukunfstrasse
Box 14",7.247779,47.133605
"Kongresshaus
Box 2",7.247927,47.13452
"Unterer quai
park 1",7.2413548,47.1356659
-,7.168422,47.367285
"Gewerberhofstrasse
Box 3",7.248045,47.132599
"Bundesamt fÃ¼r Kommunikation
Box 6",7.247922,47.13263
"03-04-21
Zukunftstrasse
Box 9",7.248722,47.132653
"Gewerberhofstrasse
Box 2",7.248265,47.132715
"03-04-21
Zukunftstrasse
Box 10",7.248611,47.13273
"Gewerberhofstrasse
Box 1",7.248429,47.132796
"Zukunfstrasse
Box 11",7.248676,47.132807
"Bundesamt fÃ¼r Kommunikation
Box 1",7.248372,47.132866
"Gewerberhofstrasse
Box 6",7.247673,47.132398
"Gewerberhofstrasse
Box 7",7.247449,47.1323
"Gewerberhofstrasse
Box 5",7.247754,47.132445
"Bundesamt fÃ¼r Kommunikation
Box 2",7.247361,47.132339
"Bundesamt fÃ¼r Kommunikation
Box 3",7.247487,47.132406
"Bundesamt fÃ¼r Kommunikation
Box 4",7.247626,47.132474
"Gewerberhofstrasse
Box 4",7.24787,47.132508
"Bundesamt fÃ¼r Kommunikation
Box 5",7.247751,47.132543
"04-04
Alfred-aebi-strasse
box 6",7.251503,47.132146
"05-04
BrÃ¼ggstrasse
Box 11",layerId,7.252035
"04-04
Friedweg
Area 1",layerId,7.254384
Brueggstrasse-Berm-1,7.254117,47.130018
Schmiedweg-Berm-1,7.252196,47.130327
Brueggstrasse-area-2,7.253431,47.130671
"BrÃ¼ggstrasse
Box 5",7.252605,47.131396
"BrÃ¼ggstrasse
Box 6",7.252528,47.131486
"04-04
Alfred-aebi-strasse
box 7",7.251633,47.132097
"04-04
Alfred-aebi-strasse
box 9",7.251862,47.132139
"04-04
Alfred-aebi-strasse
box 8",7.251774,47.132074
muehlefeldweg-park-1,7.253705,47.129815
"Alexander-Moser-Strasse
box 1",7.251796,47.127169
