,date,place,species,year,loc_date,location,place_copy,places,places1,rch,rmp,rju,fam,res,pri,inv,ode,ns,ongen,ni,cdf,biel
1856,2020-1--20,eidochsweg-suze-1,ranunculus-ficaria,2,"('eidochsweg-suze-1', '2020-1--20')",c,eidochsweg-suze-1,eidochsweg-suze-1,eidochsweg-suze-1,LC,LC,LC,Ranunculaceae,X,X,X,X,X,X,X,cdf,biel
1857,2020-1--20,eidochsweg-suze-1,anemone-nemorosa,2,"('eidochsweg-suze-1', '2020-1--20')",c,eidochsweg-suze-1,eidochsweg-suze-1,eidochsweg-suze-1,LC,LC,LC,Ranunculaceae,X,X,X,X,X,X,X,cdf,biel
1858,2020-1--20,eidochsweg-suze-1,primula-acaulis,2,"('eidochsweg-suze-1', '2020-1--20')",c,eidochsweg-suze-1,eidochsweg-suze-1,eidochsweg-suze-1,LC,LC,LC,Primulaceae,X,X,X,X,X,X,X,X,biel
1859,2020-1--20,eidochsweg-suze-1,salix-caprea,2,"('eidochsweg-suze-1', '2020-1--20')",c,eidochsweg-suze-1,eidochsweg-suze-1,eidochsweg-suze-1,LC,LC,LC,Salicaceae,X,X,X,X,X,X,X,cdf,biel
1860,2020-1--20,eidochsweg-suze-3,primula-acaulis,2,"('eidochsweg-suze-3', '2020-1--20')",a,eidochsweg-suze-3,eidochsweg-suze-3,eidochsweg-suze-3,LC,LC,LC,Primulaceae,X,X,X,X,X,X,X,X,biel
1861,2020-1--20,eidochsweg-suze-1,veronica-persica,2,"('eidochsweg-suze-1', '2020-1--20')",c,eidochsweg-suze-1,eidochsweg-suze-1,eidochsweg-suze-1,X,X,X,X,X,X,X,X,X,X,ni,cdf,biel
1862,2020-1--20,eidochsweg-suze-3,cardamine-hirsuta,2,"('eidochsweg-suze-3', '2020-1--20')",a,eidochsweg-suze-3,eidochsweg-suze-3,eidochsweg-suze-3,LC,LC,LC,Brassicaceae,X,X,X,X,X,X,X,X,biel
1863,2020-1--20,eidochsweg-suze-3,salix-caprea,2,"('eidochsweg-suze-3', '2020-1--20')",a,eidochsweg-suze-3,eidochsweg-suze-3,eidochsweg-suze-3,LC,LC,LC,Salicaceae,X,X,X,X,X,X,X,cdf,biel
1864,2020-1--20,eidochsweg-suze-1,cardamine-hirsuta,2,"('eidochsweg-suze-1', '2020-1--20')",c,eidochsweg-suze-1,eidochsweg-suze-1,eidochsweg-suze-1,LC,LC,LC,Brassicaceae,X,X,X,X,X,X,X,X,biel
1865,2020-1--20,buerenstrasse-suze-2,veronica-persica,2,"('buerenstrasse-suze-2', '2020-1--20')",c,buerenstrasse-suze-2,buerenstrasse-suze-2,buerenstrasse-suze-2,X,X,X,X,X,X,X,X,X,X,ni,cdf,biel
1866,2020-1--20,buerenstrasse-suze-2,veronica-hederifolia,2,"('buerenstrasse-suze-2', '2020-1--20')",c,buerenstrasse-suze-2,buerenstrasse-suze-2,buerenstrasse-suze-2,LC,LC,LC,Plantaginaceae,X,X,X,X,X,X,X,cdf,biel
1867,2020-1--20,buerenstrasse-suze-2,lamium-purpureum,2,"('buerenstrasse-suze-2', '2020-1--20')",c,buerenstrasse-suze-2,buerenstrasse-suze-2,buerenstrasse-suze-2,LC,LC,LC,Lamiaceae,X,X,X,X,X,X,X,X,biel
1868,2020-1--20,buerenstrasse-suze-2,bellis-perennis,2,"('buerenstrasse-suze-2', '2020-1--20')",c,buerenstrasse-suze-2,buerenstrasse-suze-2,buerenstrasse-suze-2,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
1869,2020-1--20,buerenstrasse-suze-2,potentilla-sterilis,2,"('buerenstrasse-suze-2', '2020-1--20')",c,buerenstrasse-suze-2,buerenstrasse-suze-2,buerenstrasse-suze-2,LC,LC,LC,Rosaceae,X,X,X,X,X,X,X,cdf,biel
1870,2020-1--20,buerenstrasse-suze-2,viola-odorata,2,"('buerenstrasse-suze-2', '2020-1--20')",c,buerenstrasse-suze-2,buerenstrasse-suze-2,buerenstrasse-suze-2,LC,LC,LC,Violaceae,X,X,X,X,X,X,X,cdf,biel
1871,2020-1--20,buerenstrasse-suze-2,cardamine-hirsuta,2,"('buerenstrasse-suze-2', '2020-1--20')",c,buerenstrasse-suze-2,buerenstrasse-suze-2,buerenstrasse-suze-2,LC,LC,LC,Brassicaceae,X,X,X,X,X,X,X,X,biel
1872,2020-1--20,buerenstrasse-suze-2,erophila-verna,2,"('buerenstrasse-suze-2', '2020-1--20')",c,buerenstrasse-suze-2,buerenstrasse-suze-2,buerenstrasse-suze-2,LC,NE,NE,Brassicaceae,X,X,X,X,X,X,X,cdf,biel
1873,2020-1--20,buerenstrasse-suze-2,ranunculus-ficaria,2,"('buerenstrasse-suze-2', '2020-1--20')",c,buerenstrasse-suze-2,buerenstrasse-suze-2,buerenstrasse-suze-2,LC,LC,LC,Ranunculaceae,X,X,X,X,X,X,X,cdf,biel
1874,2020-1--20,buerenstrasse-suze-2,salix-caprea,2,"('buerenstrasse-suze-2', '2020-1--20')",c,buerenstrasse-suze-2,buerenstrasse-suze-2,buerenstrasse-suze-2,LC,LC,LC,Salicaceae,X,X,X,X,X,X,X,cdf,biel
1875,2020-1--20,buerenstrasse-suze-1,capsella-bursa-pastoris,2,"('buerenstrasse-suze-1', '2020-1--20')",c,buerenstrasse-suze-1,buerenstrasse-suze-1,buerenstrasse-suze-1,LC,LC,LC,Brassicaceae,X,X,X,X,X,X,X,cdf,biel
1876,2020-1--20,buerenstrasse-suze-1,cardamine-hirsuta,2,"('buerenstrasse-suze-1', '2020-1--20')",c,buerenstrasse-suze-1,buerenstrasse-suze-1,buerenstrasse-suze-1,LC,LC,LC,Brassicaceae,X,X,X,X,X,X,X,X,biel
1877,2020-1--20,buerenstrasse-suze-1,tussilago-farfara,2,"('buerenstrasse-suze-1', '2020-1--20')",c,buerenstrasse-suze-1,buerenstrasse-suze-1,buerenstrasse-suze-1,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
1878,2020-1--20,buerenstrasse-suze-1,salix-caprea,2,"('buerenstrasse-suze-1', '2020-1--20')",c,buerenstrasse-suze-1,buerenstrasse-suze-1,buerenstrasse-suze-1,LC,LC,LC,Salicaceae,X,X,X,X,X,X,X,cdf,biel
1879,2020-1--20,buerenstrasse-suze-1,senecio-vulgaris,2,"('buerenstrasse-suze-1', '2020-1--20')",c,buerenstrasse-suze-1,buerenstrasse-suze-1,buerenstrasse-suze-1,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
1880,2020-1--20,buerenstrasse-suze-1,erophila-verna,2,"('buerenstrasse-suze-1', '2020-1--20')",c,buerenstrasse-suze-1,buerenstrasse-suze-1,buerenstrasse-suze-1,LC,NE,NE,Brassicaceae,X,X,X,X,X,X,X,cdf,biel
1881,2020-1--20,buerenstrasse-suze-3,tussilago-farfara,2,"('buerenstrasse-suze-3', '2020-1--20')",c,buerenstrasse-suze-3,buerenstrasse-suze-3,buerenstrasse-suze-3,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
1882,2020-1--20,buerenstrasse-suze-3,salix-purpurea,2,"('buerenstrasse-suze-3', '2020-1--20')",c,buerenstrasse-suze-3,buerenstrasse-suze-3,buerenstrasse-suze-3,LC,LC,LC,Salicaceae,X,X,X,X,X,X,X,cdf,biel
1883,2020-1--20,buerenstrasse-suze-3,salix-caprea,2,"('buerenstrasse-suze-3', '2020-1--20')",c,buerenstrasse-suze-3,buerenstrasse-suze-3,buerenstrasse-suze-3,LC,LC,LC,Salicaceae,X,X,X,X,X,X,X,cdf,biel
1884,2017-1--20,schuessinsel-kanal-3,tussilago-farfara,2,"('schuessinsel-kanal-3', '2017-1--20')",c,schuessinsel-kanal-3,schuessinsel-kanal-3,schuessinsel-kanal-3,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
1885,2017-1--20,schuessinsel-kanal-3,glechoma-hederacea,2,"('schuessinsel-kanal-3', '2017-1--20')",c,schuessinsel-kanal-3,schuessinsel-kanal-3,schuessinsel-kanal-3,LC,LC,LC,Lamiaceae,X,X,X,X,X,X,X,cdf,biel
1886,2017-1--20,schuessinsel-kanal-3,veronica-persica,2,"('schuessinsel-kanal-3', '2017-1--20')",c,schuessinsel-kanal-3,schuessinsel-kanal-3,schuessinsel-kanal-3,X,X,X,X,X,X,X,X,X,X,ni,cdf,biel
1887,2017-1--20,schuessinsel-kanal-3,taraxacum-officinale,2,"('schuessinsel-kanal-3', '2017-1--20')",c,schuessinsel-kanal-3,schuessinsel-kanal-3,schuessinsel-kanal-3,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
1888,2017-1--20,schuessinsel-kanal-3,ranunculus-bulbosus,2,"('schuessinsel-kanal-3', '2017-1--20')",c,schuessinsel-kanal-3,schuessinsel-kanal-3,schuessinsel-kanal-3,LC,LC,LC,Ranunculaceae,X,X,X,X,X,X,X,cdf,biel
1889,2017-1--20,schuessinsel-kanal-3,ranunculus-acris,2,"('schuessinsel-kanal-3', '2017-1--20')",c,schuessinsel-kanal-3,schuessinsel-kanal-3,schuessinsel-kanal-3,LC,LC,LC,Ranunculaceae,X,X,X,X,X,X,X,cdf,biel
1890,2017-1--20,schuessinsel-kanal-3,cardamine-hirsuta,2,"('schuessinsel-kanal-3', '2017-1--20')",c,schuessinsel-kanal-3,schuessinsel-kanal-3,schuessinsel-kanal-3,LC,LC,LC,Brassicaceae,X,X,X,X,X,X,X,X,biel
1891,2017-1--20,schuessinsel-kanal-2,veronica-hederifolia,2,"('schuessinsel-kanal-2', '2017-1--20')",a,schuessinsel-kanal-2,schuessinsel-kanal-2,schuessinsel-kanal-2,LC,LC,LC,Plantaginaceae,X,X,X,X,X,X,X,cdf,biel
1892,2017-1--20,schuessinsel-kanal-2,ranunculus-bulbosus,2,"('schuessinsel-kanal-2', '2017-1--20')",a,schuessinsel-kanal-2,schuessinsel-kanal-2,schuessinsel-kanal-2,LC,LC,LC,Ranunculaceae,X,X,X,X,X,X,X,cdf,biel
1893,2017-1--20,schuessinsel-kanal-2,taraxacum-officinale,2,"('schuessinsel-kanal-2', '2017-1--20')",a,schuessinsel-kanal-2,schuessinsel-kanal-2,schuessinsel-kanal-2,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
1894,2017-1--20,schuessinsel-kanal-2,glechoma-hederacea,2,"('schuessinsel-kanal-2', '2017-1--20')",a,schuessinsel-kanal-2,schuessinsel-kanal-2,schuessinsel-kanal-2,LC,LC,LC,Lamiaceae,X,X,X,X,X,X,X,cdf,biel
1895,2017-1--20,schuessinsel-kanal-2,cardamine-hirsuta,2,"('schuessinsel-kanal-2', '2017-1--20')",a,schuessinsel-kanal-2,schuessinsel-kanal-2,schuessinsel-kanal-2,LC,LC,LC,Brassicaceae,X,X,X,X,X,X,X,X,biel
1896,2017-1--20,schloesslifeld-suze-1,ajuga-reptans,2,"('schloesslifeld-suze-1', '2017-1--20')",c,schloesslifeld-suze-1,schloesslifeld-suze-1,schloesslifeld-suze-1,LC,LC,LC,Lamiaceae,X,X,X,X,X,X,X,cdf,biel
1897,2017-1--20,schloesslifeld-suze-1,equisetum-arvense,2,"('schloesslifeld-suze-1', '2017-1--20')",c,schloesslifeld-suze-1,schloesslifeld-suze-1,schloesslifeld-suze-1,LC,LC,LC,Equisetaceae,X,X,X,X,X,X,X,cdf,biel
1898,2017-1--20,schloesslifeld-suze-1,taraxacum-officinale,2,"('schloesslifeld-suze-1', '2017-1--20')",c,schloesslifeld-suze-1,schloesslifeld-suze-1,schloesslifeld-suze-1,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
1899,2017-1--20,schloesslifeld-suze-1,cardamine-hirsuta,2,"('schloesslifeld-suze-1', '2017-1--20')",c,schloesslifeld-suze-1,schloesslifeld-suze-1,schloesslifeld-suze-1,LC,LC,LC,Brassicaceae,X,X,X,X,X,X,X,X,biel
1900,2017-1--20,schloesslifeld-suze-1,glechoma-hederacea,2,"('schloesslifeld-suze-1', '2017-1--20')",c,schloesslifeld-suze-1,schloesslifeld-suze-1,schloesslifeld-suze-1,LC,LC,LC,Lamiaceae,X,X,X,X,X,X,X,cdf,biel
1901,2017-1--20,schloesslifeld-suze-1,prunus-padus,2,"('schloesslifeld-suze-1', '2017-1--20')",c,schloesslifeld-suze-1,schloesslifeld-suze-1,schloesslifeld-suze-1,LC,LC,LC,Rosaceae,X,X,X,X,X,X,X,cdf,biel
1902,2017-1--20,muehlestrasse-suze-1,taraxacum-officinale,2,"('muehlestrasse-suze-1', '2017-1--20')",a,muehlestrasse-suze-1,muehlestrasse-suze-1,muehlestrasse-suze-1,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
1903,2017-1--20,muehlestrasse-suze-1,equisetum-arvense,2,"('muehlestrasse-suze-1', '2017-1--20')",a,muehlestrasse-suze-1,muehlestrasse-suze-1,muehlestrasse-suze-1,LC,LC,LC,Equisetaceae,X,X,X,X,X,X,X,cdf,biel
1904,2017-1--20,muehlestrasse-suze-1,ranunculus-ficaria,2,"('muehlestrasse-suze-1', '2017-1--20')",a,muehlestrasse-suze-1,muehlestrasse-suze-1,muehlestrasse-suze-1,LC,LC,LC,Ranunculaceae,X,X,X,X,X,X,X,cdf,biel
1905,2017-1--20,muehlestrasse-suze-1,alliaria-petiolata,2,"('muehlestrasse-suze-1', '2017-1--20')",a,muehlestrasse-suze-1,muehlestrasse-suze-1,muehlestrasse-suze-1,LC,LC,LC,Brassicaceae,X,X,X,X,X,X,X,cdf,biel
1906,2017-1--20,muehlestrasse-suze-1,ranunculus-acris,2,"('muehlestrasse-suze-1', '2017-1--20')",a,muehlestrasse-suze-1,muehlestrasse-suze-1,muehlestrasse-suze-1,LC,LC,LC,Ranunculaceae,X,X,X,X,X,X,X,cdf,biel
1907,2017-1--20,muehlestrasse-suze-1,hedera-helix,2,"('muehlestrasse-suze-1', '2017-1--20')",a,muehlestrasse-suze-1,muehlestrasse-suze-1,muehlestrasse-suze-1,LC,LC,LC,Araliaceae,X,X,X,X,X,X,X,cdf,biel
1908,2017-1--20,muehlestrasse-suze-1,lonicera-xylosteum,2,"('muehlestrasse-suze-1', '2017-1--20')",a,muehlestrasse-suze-1,muehlestrasse-suze-1,muehlestrasse-suze-1,LC,LC,LC,Caprifoliaceae,X,X,X,X,X,X,X,cdf,biel
1909,2017-1--20,muehlestrasse-suze-1,alnus-glutinosa,2,"('muehlestrasse-suze-1', '2017-1--20')",a,muehlestrasse-suze-1,muehlestrasse-suze-1,muehlestrasse-suze-1,LC,LC,LC,Betulaceae,X,X,X,X,X,X,X,cdf,biel
1910,2017-1--20,muehlestrasse-suze-1,salix-caprea,2,"('muehlestrasse-suze-1', '2017-1--20')",a,muehlestrasse-suze-1,muehlestrasse-suze-1,muehlestrasse-suze-1,LC,LC,LC,Salicaceae,X,X,X,X,X,X,X,cdf,biel
1911,2017-1--20,muehlestrasse-suze-1,cardamine-hirsuta,2,"('muehlestrasse-suze-1', '2017-1--20')",a,muehlestrasse-suze-1,muehlestrasse-suze-1,muehlestrasse-suze-1,LC,LC,LC,Brassicaceae,X,X,X,X,X,X,X,X,biel
1912,2017-1--20,eidochsweg-suze-3,taraxacum-officinale,2,"('eidochsweg-suze-3', '2017-1--20')",a,eidochsweg-suze-3,eidochsweg-suze-3,eidochsweg-suze-3,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
1913,2017-1--20,eidochsweg-suze-3,lamium-maculatum,2,"('eidochsweg-suze-3', '2017-1--20')",a,eidochsweg-suze-3,eidochsweg-suze-3,eidochsweg-suze-3,LC,LC,LC,Lamiaceae,X,X,X,X,X,X,X,X,biel
1914,2017-1--20,eidochsweg-suze-3,alliaria-petiolata,2,"('eidochsweg-suze-3', '2017-1--20')",a,eidochsweg-suze-3,eidochsweg-suze-3,eidochsweg-suze-3,LC,LC,LC,Brassicaceae,X,X,X,X,X,X,X,cdf,biel
1915,2017-1--20,eidochsweg-suze-3,veronica-persica,2,"('eidochsweg-suze-3', '2017-1--20')",a,eidochsweg-suze-3,eidochsweg-suze-3,eidochsweg-suze-3,X,X,X,X,X,X,X,X,X,X,ni,cdf,biel
1916,2017-1--20,eidochsweg-suze-3,primula-acaulis,2,"('eidochsweg-suze-3', '2017-1--20')",a,eidochsweg-suze-3,eidochsweg-suze-3,eidochsweg-suze-3,LC,LC,LC,Primulaceae,X,X,X,X,X,X,X,X,biel
1917,2017-1--20,eidochsweg-suze-3,ranunculus-ficaria,2,"('eidochsweg-suze-3', '2017-1--20')",a,eidochsweg-suze-3,eidochsweg-suze-3,eidochsweg-suze-3,LC,LC,LC,Ranunculaceae,X,X,X,X,X,X,X,cdf,biel
1918,2017-1--20,eidochsweg-suze-3,cardamine-hirsuta,2,"('eidochsweg-suze-3', '2017-1--20')",a,eidochsweg-suze-3,eidochsweg-suze-3,eidochsweg-suze-3,LC,LC,LC,Brassicaceae,X,X,X,X,X,X,X,X,biel
1919,2017-1--20,eidochsweg-suze-3,hedera-helix,2,"('eidochsweg-suze-3', '2017-1--20')",a,eidochsweg-suze-3,eidochsweg-suze-3,eidochsweg-suze-3,LC,LC,LC,Araliaceae,X,X,X,X,X,X,X,cdf,biel
1920,2017-1--20,eidochsweg-suze-3,lunaria-annua,2,"('eidochsweg-suze-3', '2017-1--20')",a,eidochsweg-suze-3,eidochsweg-suze-3,eidochsweg-suze-3,X,X,X,X,X,X,X,X,X,X,ni,cdf,biel
1921,2017-1--20,eidochsweg-suze-2,anemone-nemorosa,2,"('eidochsweg-suze-2', '2017-1--20')",c,eidochsweg-suze-2,eidochsweg-suze-2,eidochsweg-suze-2,LC,LC,LC,Ranunculaceae,X,X,X,X,X,X,X,cdf,biel
1922,2017-1--20,eidochsweg-suze-2,ranunculus-repens,2,"('eidochsweg-suze-2', '2017-1--20')",c,eidochsweg-suze-2,eidochsweg-suze-2,eidochsweg-suze-2,LC,LC,LC,Ranunculaceae,X,X,X,X,X,X,X,cdf,biel
1923,2017-1--20,eidochsweg-suze-2,alliaria-petiolata,2,"('eidochsweg-suze-2', '2017-1--20')",c,eidochsweg-suze-2,eidochsweg-suze-2,eidochsweg-suze-2,LC,LC,LC,Brassicaceae,X,X,X,X,X,X,X,cdf,biel
1924,2017-1--20,eidochsweg-suze-2,glechoma-hederacea,2,"('eidochsweg-suze-2', '2017-1--20')",c,eidochsweg-suze-2,eidochsweg-suze-2,eidochsweg-suze-2,LC,LC,LC,Lamiaceae,X,X,X,X,X,X,X,cdf,biel
1925,2017-1--20,eidochsweg-suze-2,bellis-perennis,2,"('eidochsweg-suze-2', '2017-1--20')",c,eidochsweg-suze-2,eidochsweg-suze-2,eidochsweg-suze-2,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
1926,2017-1--20,eidochsweg-suze-2,ranunculus-bulbosus,2,"('eidochsweg-suze-2', '2017-1--20')",c,eidochsweg-suze-2,eidochsweg-suze-2,eidochsweg-suze-2,LC,LC,LC,Ranunculaceae,X,X,X,X,X,X,X,cdf,biel
1927,2017-1--20,eidochsweg-suze-2,hedera-helix,2,"('eidochsweg-suze-2', '2017-1--20')",c,eidochsweg-suze-2,eidochsweg-suze-2,eidochsweg-suze-2,LC,LC,LC,Araliaceae,X,X,X,X,X,X,X,cdf,biel
1928,2017-1--20,eidochsweg-suze-2,taraxacum-officinale,2,"('eidochsweg-suze-2', '2017-1--20')",c,eidochsweg-suze-2,eidochsweg-suze-2,eidochsweg-suze-2,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
1929,2017-1--20,eidochsweg-suze-2,plantago-media,2,"('eidochsweg-suze-2', '2017-1--20')",c,eidochsweg-suze-2,eidochsweg-suze-2,eidochsweg-suze-2,LC,LC,LC,Plantaginaceae,X,X,X,X,X,X,X,cdf,biel
1930,2017-1--20,eidochsweg-suze-1,plantago-media,2,"('eidochsweg-suze-1', '2017-1--20')",c,eidochsweg-suze-1,eidochsweg-suze-1,eidochsweg-suze-1,LC,LC,LC,Plantaginaceae,X,X,X,X,X,X,X,cdf,biel
1931,2017-1--20,eidochsweg-suze-1,veronica-hederifolia,2,"('eidochsweg-suze-1', '2017-1--20')",c,eidochsweg-suze-1,eidochsweg-suze-1,eidochsweg-suze-1,LC,LC,LC,Plantaginaceae,X,X,X,X,X,X,X,cdf,biel
1932,2017-1--20,eidochsweg-suze-1,glechoma-hederacea,2,"('eidochsweg-suze-1', '2017-1--20')",c,eidochsweg-suze-1,eidochsweg-suze-1,eidochsweg-suze-1,LC,LC,LC,Lamiaceae,X,X,X,X,X,X,X,cdf,biel
1933,2017-1--20,eidochsweg-suze-1,cardamine-hirsuta,2,"('eidochsweg-suze-1', '2017-1--20')",c,eidochsweg-suze-1,eidochsweg-suze-1,eidochsweg-suze-1,LC,LC,LC,Brassicaceae,X,X,X,X,X,X,X,X,biel
1934,2017-1--20,eidochsweg-suze-1,prunus-avium,2,"('eidochsweg-suze-1', '2017-1--20')",c,eidochsweg-suze-1,eidochsweg-suze-1,eidochsweg-suze-1,LC,LC,LC,Rosaceae,X,X,X,X,X,X,X,X,biel
1935,2017-1--20,eidochsweg-suze-1,taraxacum-officinale,2,"('eidochsweg-suze-1', '2017-1--20')",c,eidochsweg-suze-1,eidochsweg-suze-1,eidochsweg-suze-1,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
1936,2017-1--20,eidochsweg-suze-1,corydalis-cava,2,"('eidochsweg-suze-1', '2017-1--20')",c,eidochsweg-suze-1,eidochsweg-suze-1,eidochsweg-suze-1,LC,LC,LC,Papaveraceae,X,X,X,X,X,X,X,cdf,biel
1937,2017-1--20,eidochsweg-suze-1,ranunculus-acris,2,"('eidochsweg-suze-1', '2017-1--20')",c,eidochsweg-suze-1,eidochsweg-suze-1,eidochsweg-suze-1,LC,LC,LC,Ranunculaceae,X,X,X,X,X,X,X,cdf,biel
1938,2017-1--20,eidochsweg-suze-1,hedera-helix,2,"('eidochsweg-suze-1', '2017-1--20')",c,eidochsweg-suze-1,eidochsweg-suze-1,eidochsweg-suze-1,LC,LC,LC,Araliaceae,X,X,X,X,X,X,X,cdf,biel
1939,2022-1--20,schlosslistrasse-suze-1,mahonia-aquifolium,2,"('schlosslistrasse-suze-1', '2022-1--20')",c,schlosslistrasse-suze-1,schlosslistrasse-suze-1,schlosslistrasse-suze-1,X,X,X,X,X,X,X,X,X,X,ni,X,biel
1940,2022-1--20,schlosslistrasse-suze-1,veronica-hederifolia,2,"('schlosslistrasse-suze-1', '2022-1--20')",c,schlosslistrasse-suze-1,schlosslistrasse-suze-1,schlosslistrasse-suze-1,LC,LC,LC,Plantaginaceae,X,X,X,X,X,X,X,cdf,biel
1941,2022-1--20,schlosslistrasse-suze-1,stellaria-media,2,"('schlosslistrasse-suze-1', '2022-1--20')",c,schlosslistrasse-suze-1,schlosslistrasse-suze-1,schlosslistrasse-suze-1,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,cdf,biel
1942,2022-1--20,schlosslistrasse-suze-1,erophila-verna,2,"('schlosslistrasse-suze-1', '2022-1--20')",c,schlosslistrasse-suze-1,schlosslistrasse-suze-1,schlosslistrasse-suze-1,LC,NE,NE,Brassicaceae,X,X,X,X,X,X,X,cdf,biel
1943,2022-1--20,schlosslistrasse-suze-1,senecio-vulgaris,2,"('schlosslistrasse-suze-1', '2022-1--20')",c,schlosslistrasse-suze-1,schlosslistrasse-suze-1,schlosslistrasse-suze-1,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
1944,2022-1--20,schlosslistrasse-suze-1,cardamine-hirsuta,2,"('schlosslistrasse-suze-1', '2022-1--20')",c,schlosslistrasse-suze-1,schlosslistrasse-suze-1,schlosslistrasse-suze-1,LC,LC,LC,Brassicaceae,X,X,X,X,X,X,X,X,biel
1945,2022-1--20,schlosslistrasse-suze-1,capsella-bursa-pastoris,2,"('schlosslistrasse-suze-1', '2022-1--20')",c,schlosslistrasse-suze-1,schlosslistrasse-suze-1,schlosslistrasse-suze-1,LC,LC,LC,Brassicaceae,X,X,X,X,X,X,X,cdf,biel
1946,2024-1--20,Bermenstrasse-berm-3,ranunculus-bulbosus,2,"('Bermenstrasse-berm-3', '2024-1--20')",c,Bermenstrasse-berm-3,bermenstrasse-berm-3,bermenstrasse-berm-3,LC,LC,LC,Ranunculaceae,X,X,X,X,X,X,X,cdf,biel
1947,2024-1--20,Bermenstrasse-berm-3,saxifraga-tridactylites,2,"('Bermenstrasse-berm-3', '2024-1--20')",c,Bermenstrasse-berm-3,bermenstrasse-berm-3,bermenstrasse-berm-3,LC,LC,LC,Saxifragaceae,X,X,X,X,X,X,X,X,biel
1948,2024-1--20,Bermenstrasse-berm-3,lotus-corniculatus,2,"('Bermenstrasse-berm-3', '2024-1--20')",c,Bermenstrasse-berm-3,bermenstrasse-berm-3,bermenstrasse-berm-3,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel
1949,2024-1--20,Bermenstrasse-berm-3,tragopogon-pratensis,2,"('Bermenstrasse-berm-3', '2024-1--20')",c,Bermenstrasse-berm-3,bermenstrasse-berm-3,bermenstrasse-berm-3,LC,LC,LC,Asteraceae,1.0,4.0,X,X,X,X,X,cdf,biel
1950,2024-1--20,Bermenstrasse-berm-3,rumex-acetosa,2,"('Bermenstrasse-berm-3', '2024-1--20')",c,Bermenstrasse-berm-3,bermenstrasse-berm-3,bermenstrasse-berm-3,LC,LC,LC,Polygonaceae,X,X,X,X,X,X,X,cdf,biel
1951,2024-1--20,Bermenstrasse-berm-3,taraxacum-officinale,2,"('Bermenstrasse-berm-3', '2024-1--20')",c,Bermenstrasse-berm-3,bermenstrasse-berm-3,bermenstrasse-berm-3,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
1952,2024-1--20,Bermenstrasse-berm-3,bellis-perennis,2,"('Bermenstrasse-berm-3', '2024-1--20')",c,Bermenstrasse-berm-3,bermenstrasse-berm-3,bermenstrasse-berm-3,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
1953,2024-1--20,Bermenstrasse-berm-4,muscari-neglectum,2,"('Bermenstrasse-berm-4', '2024-1--20')",a,Bermenstrasse-berm-4,bermenstrasse-berm-4,bermenstrasse-berm-4,DD,DD,DD,Asparagaceae,X,X,X,X,X,X,X,X,biel
1954,2024-1--20,bermenstrasse-berm-4,saxifraga-tridactylites,2,"('bermenstrasse-berm-4', '2024-1--20')",c,bermenstrasse-berm-4,bermenstrasse-berm-4,bermenstrasse-berm-4,LC,LC,LC,Saxifragaceae,X,X,X,X,X,X,X,X,biel
1955,2024-1--20,bermenstrasse-berm-4,ranunculus-acris,2,"('bermenstrasse-berm-4', '2024-1--20')",c,bermenstrasse-berm-4,bermenstrasse-berm-4,bermenstrasse-berm-4,LC,LC,LC,Ranunculaceae,X,X,X,X,X,X,X,cdf,biel
1956,2024-1--20,bermenstrasse-berm-4,ranunculus-bulbosus,2,"('bermenstrasse-berm-4', '2024-1--20')",c,bermenstrasse-berm-4,bermenstrasse-berm-4,bermenstrasse-berm-4,LC,LC,LC,Ranunculaceae,X,X,X,X,X,X,X,cdf,biel
1957,2024-1--20,bermenstrasse-berm-4,cardamine-hirsuta,2,"('bermenstrasse-berm-4', '2024-1--20')",c,bermenstrasse-berm-4,bermenstrasse-berm-4,bermenstrasse-berm-4,LC,LC,LC,Brassicaceae,X,X,X,X,X,X,X,X,biel
1958,2024-1--20,bermenstrasse-berm-4,arabidopsis-thaliana,2,"('bermenstrasse-berm-4', '2024-1--20')",c,bermenstrasse-berm-4,bermenstrasse-berm-4,bermenstrasse-berm-4,LC,LC,LC,Brassicaceae,X,X,X,X,X,X,X,cdf,biel
