,date,place,species,year,loc_date,location,place_copy,places,places1,rch,rmp,rju,fam,res,pri,inv,ode,ns,ongen,ni,cdf,biel
26,2020-08-13,bluets 1,clinopodium-vulgare,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,LC,LC,LC,Lamiaceae,X,X,X,X,X,X,X,cdf,biel
27,2020-08-13,bluets 1,centaurea-jacea,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,LC,LC,LC,Asteraceae,2.0,3.0,X,X,X,X,X,cdf,biel
28,2020-08-13,bluets 1,centaurea-jacea,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,LC,LC,LC,Asteraceae,2.0,3.0,X,X,X,X,X,cdf,biel
29,2020-08-13,bluets 1,scabiosa-columbaria,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,LC,LC,LC,Caprifoliaceae,X,X,X,X,X,X,X,cdf,biel
30,2020-08-13,bluets 1,silene-pratensis,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,X,biel
31,2020-08-13,bluets 1,trifolium-pratense,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel
32,2020-08-13,bluets 1,trifolium-repens,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel
33,2020-08-13,bluets 1,silene-vulgaris,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,cdf,biel
34,2020-08-13,bluets 1,silene-pratensis,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,X,biel
35,2020-08-13,bluets 1,epilobium-hirsutum,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,LC,LC,LC,Onagraceae,X,X,X,X,X,X,X,cdf,biel
36,2020-08-13,bluets 1,crepis-capillaris,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
37,2020-08-13,bluets 1,melilotus-albus,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,X,biel
38,2020-08-13,bluets 1,erigeron-annuus,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,X,X,X,X,X,X,BL,X,X,X,X,cdf,biel
39,2020-08-13,bluets 1,veronica-persica,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,X,X,X,X,X,X,X,X,X,X,ni,cdf,biel
40,2020-08-13,bluets 1,malva-neglecta,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,LC,LC,LC,Malvaceae,X,X,X,X,X,X,X,X,biel
41,2020-08-13,bluets 1,cirsium-arvense,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
42,2020-08-13,bluets 1,calystegia-sepium,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,LC,LC,LC,Convolvulaceae,X,X,X,X,X,X,X,cdf,biel
43,2020-08-13,bluets 1,galium-mollugo,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,LC,DD,DD,Rubiaceae,X,X,X,X,X,X,X,cdf,biel
44,2020-08-13,bluets 1,brassica-napus,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,X,X,X,X,X,X,X,X,X,X,ni,X,biel
45,2020-08-13,bluets 1,silene-pratensis,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,X,biel
46,2020-08-13,bluets 1,lotus-corniculatus,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel
47,2020-08-13,bluets 1,trifolium-pratense,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel
48,2020-08-13,bluets 1,medicago-sativa,1,"('bluets 1', '2020-08-13')",c,bluets 1,bluets-1,schuessinsel-kanal-2,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel
49,10.07.2020,bluets 2,hypericum-perforatum,1,"('bluets 2', '10.07.2020')",c,bluets 2,bluets-2,schuessinsel-kanal-5,LC,LC,LC,Hypericaceae,X,X,X,X,X,X,X,cdf,biel
50,12.06.2020,bluets 2,tragopogon-pratensis,1,"('bluets 2', '12.06.2020')",b,bluets 2,bluets-2,schuessinsel-kanal-5,LC,LC,LC,Asteraceae,1.0,4.0,X,X,X,X,X,cdf,biel
51,12.06.2020,bluets 2,geranium-pyrenaicum,1,"('bluets 2', '12.06.2020')",b,bluets 2,bluets-2,schuessinsel-kanal-5,LC,LC,LC,Geraniaceae,X,X,X,X,X,X,X,cdf,biel
52,12.06.2020,bluets 2,knautia-arvensis,1,"('bluets 2', '12.06.2020')",b,bluets 2,bluets-2,schuessinsel-kanal-5,LC,LC,LC,Caprifoliaceae,X,X,X,X,X,X,X,cdf,biel
53,12.06.2020,bluets 2,centaurea-jacea,1,"('bluets 2', '12.06.2020')",b,bluets 2,bluets-2,schuessinsel-kanal-5,LC,LC,LC,Asteraceae,2.0,3.0,X,X,X,X,X,cdf,biel
54,12.06.2020,bluets 2,galium-mollugo,1,"('bluets 2', '12.06.2020')",b,bluets 2,bluets-2,schuessinsel-kanal-5,LC,DD,DD,Rubiaceae,X,X,X,X,X,X,X,cdf,biel
55,12.06.2020,bluets 2,leucanthemum-vulgare,1,"('bluets 2', '12.06.2020')",b,bluets 2,bluets-2,schuessinsel-kanal-5,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
56,12.06.2020,bluets 2,vicia-sepium,1,"('bluets 2', '12.06.2020')",b,bluets 2,bluets-2,schuessinsel-kanal-5,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel
57,28.06.2020,bluets 3,tragopogon-pratensis,1,"('bluets 3', '28.06.2020')",b,bluets 3,bluets-3,bluets-3,LC,LC,LC,Asteraceae,1.0,4.0,X,X,X,X,X,cdf,biel
58,28.06.2020,bluets 3,senecio-inaequidens,1,"('bluets 3', '28.06.2020')",b,bluets 3,bluets-3,bluets-3,X,X,X,X,X,X,BL,ODE,X,X,X,X,biel
59,28.06.2020,bluets 3,knautia-arvensis,1,"('bluets 3', '28.06.2020')",b,bluets 3,bluets-3,bluets-3,LC,LC,LC,Caprifoliaceae,X,X,X,X,X,X,X,cdf,biel
60,28.06.2020,bluets 3,medicago-sativa,1,"('bluets 3', '28.06.2020')",b,bluets 3,bluets-3,bluets-3,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel
61,28.06.2020,bluets 3,dianthus-carthusianorum,1,"('bluets 3', '28.06.2020')",b,bluets 3,bluets-3,bluets-3,LC,NT,NT,Caryophyllaceae,X,X,X,X,X,X,X,X,biel
62,28.06.2020,bluets 3,mentha-longifolia,1,"('bluets 3', '28.06.2020')",b,bluets 3,bluets-3,bluets-3,LC,LC,LC,Lamiaceae,X,X,X,X,X,X,X,X,biel
63,28.06.2020,bluets 3,lapsana-communis,1,"('bluets 3', '28.06.2020')",b,bluets 3,bluets-3,bluets-3,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
64,28.06.2020,bluets 3,galium-mollugo,1,"('bluets 3', '28.06.2020')",b,bluets 3,bluets-3,bluets-3,LC,DD,DD,Rubiaceae,X,X,X,X,X,X,X,cdf,biel
65,28.06.2020,bluets 3,erigeron-annuus,1,"('bluets 3', '28.06.2020')",b,bluets 3,bluets-3,bluets-3,X,X,X,X,X,X,BL,X,X,X,X,cdf,biel
66,09.06.2020,boujean 1,medicago-lupulina,1,"('boujean 1', '09.06.2020')",c,boujean 1,boujean-1,buerenstrasse-suze-1,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel
67,09.06.2020,boujean 1,cichorium-intybus,1,"('boujean 1', '09.06.2020')",c,boujean 1,boujean-1,buerenstrasse-suze-1,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
68,09.06.2020,boujean 1,potentilla-reptans,1,"('boujean 1', '09.06.2020')",c,boujean 1,boujean-1,buerenstrasse-suze-1,LC,LC,LC,Rosaceae,X,X,X,X,X,X,X,X,biel
69,09.06.2020,boujean 2,papaver-rhoeas,1,"('boujean 2', '09.06.2020')",a,boujean 2,boujean-2,buerenstrasse-suze-1,LC,LC,LC,Papaveraceae,X,X,X,X,X,X,X,X,biel
70,09.06.2020,boujean 2,hypericum-maculatum,1,"('boujean 2', '09.06.2020')",a,boujean 2,boujean-2,buerenstrasse-suze-1,LC,LC,LC,Hypericaceae,X,X,X,X,X,X,X,cdf,biel
71,09.06.2020,boujean 2,trifolium-pratense,1,"('boujean 2', '09.06.2020')",a,boujean 2,boujean-2,buerenstrasse-suze-1,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel
72,09.06.2020,boujean 2,erigeron-annuus,1,"('boujean 2', '09.06.2020')",a,boujean 2,boujean-2,buerenstrasse-suze-1,X,X,X,X,X,X,BL,X,X,X,X,cdf,biel
73,09.06.2020,boujean 2,medicago-lupulina,1,"('boujean 2', '09.06.2020')",a,boujean 2,boujean-2,buerenstrasse-suze-1,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel
74,18.06.2020,boujean 2,medicago-lupulina,1,"('boujean 2', '18.06.2020')",b,boujean 2,boujean-2,buerenstrasse-suze-1,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel
75,18.06.2020,boujean 2,arenaria-serpyllifolia,1,"('boujean 2', '18.06.2020')",b,boujean 2,boujean-2,buerenstrasse-suze-1,LC,LC,LC,Caryophyllaceae,X,X,X,X,X,X,X,cdf,biel
76,18.06.2020,boujean 2,crepis-capillaris,1,"('boujean 2', '18.06.2020')",b,boujean 2,boujean-2,buerenstrasse-suze-1,LC,LC,LC,Asteraceae,X,X,X,X,X,X,X,cdf,biel
77,18.06.2020,boujean 2,acinos-arvensis,1,"('boujean 2', '18.06.2020')",b,boujean 2,boujean-2,buerenstrasse-suze-1,LC,LC,LC,Lamiaceae,X,X,X,X,X,X,X,X,biel
78,18.06.2020,boujean 3,trifolium-pratense,1,"('boujean 3', '18.06.2020')",b,boujean 3,boujean-3,buerenstrasse-suze-1,LC,LC,LC,Fabaceae,X,X,X,X,X,X,X,cdf,biel
